CaseID,3. Do you currently live on a farm?,"15a. Increasing public access to natural areas for recreation (hiking, biking, a  swimming, fishing, hunting, etc.)",15b. Beautification of the landscape,15c. Increasing crop production,15d. Increasing livestock production,15e. Improving flood control,15f. Protecting drinking water quality,15g. Protecting water quality for swimming/boating,15h. Protecting water quality for aquatic life,15i. Restoring native prairie,15j. Restoring wetlands,15k.Reducing greenhouse gases (carbon sequestration),15l. Increasing rural job opportunities,15m. Increasing tourism opportunities,15n. Improving game wildlife habitat,15o. Improving non-game wildlife habitat,15p. Other
10010,No,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,9,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10038,No,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10041,No,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,8
10076,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,8
10098,No,Slight Priority,No Priority,No Priority,No Priority,Slight Priority,Moderate Priority,Moderate Priority,Very High Priority,Slight Priority,Slight Priority,Very High Priority,Slight Priority,Slight Priority,Slight Priority,Very High Priority,8
10112,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Slight Priority,Slight Priority,8
10135,No,Moderate Priority,Slight Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,8
10145,No,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,8
10146,No,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10168,No,High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,High Priority
10180,No,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,8
10217,No,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10254,No,No Priority,Moderate Priority,No Priority,No Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,No Priority,8
10262,No,No Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Slight Priority,Moderate Priority,High Priority,8
10288,No,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,8
10324,No,High Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,8
10345,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority
10349,Yes,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,8
10351,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10363,No,Very High Priority,Very High Priority,No Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10410,No,Moderate Priority,Moderate Priority,Moderate Priority,9,High Priority,High Priority,High Priority,High Priority,Slight Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10421,No,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,8
10425,No,High Priority,Moderate Priority,No Priority,No Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Moderate Priority,No Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,8
